"Location","lat","long"
"Waukesha, WI, USA",43.0622536,-88.3123889
"White Plains, NY, USA",41.0339862,-73.7629097
"Auburn, AL, USA",32.6098566,-85.4807825
"Fort Morgan, CO, USA",40.2502582,-103.799951
"Florissant, MO, USA",38.7919683,-90.3227803
"Silex, MO, USA",39.1233792,-91.0543076
"Cumming, GA, USA",34.2073196,-84.1401926
"Stockton, CA, USA",37.9577016,-121.290779
"Marriottsville, MD, USA",39.3501959,-76.8993808
"Duluth, GA, USA",34.0028569,-84.1441046
"DeLeon Springs, FL, USA",29.1310066,-81.3487498
"Easton, MA, USA",42.0245442,-71.1286594
"Westminster, MD, USA",39.5751717,-76.9959168
"Escondido, CA, USA",33.1216751,-117.0814849
"Greer, SC, USA",34.9381361,-82.2272119
"Independence, OR, USA",44.8560029,-123.191303
"Red Feather Lakes, CO, USA",40.8076878,-105.5756222
"Pittstown, NJ, USA",40.5821362,-74.9589826
"Douglassville, PA, USA",40.2578714,-75.7263008
"Cape Coral, FL, USA",26.5625742,-81.9438802
"Fillmore, CA, USA",34.3985613,-118.9125093
"Newfoundland, PA, USA",41.3073102,-75.3199035
"Hoover, AL, USA",33.350293,-86.851123
"Centralia, WA, USA",46.7204489,-122.96143
"Auburn, WA, USA",47.3075369,-122.2301808
"Annapolis, MD, USA",38.9786401,-76.492786
"Bowie, MD, USA",38.9424464,-76.7301718
"Cottage Grove, MN, USA",44.8277446,-92.9438218
"Lebanon, NJ, USA",40.6417683,-74.8359987
"Alpharetta, GA, USA",34.0755962,-84.2945964
"Canandaigua, NY, USA",42.850682,-77.3191454
"San Jose, CA, USA",37.3361663,-121.890591
"Dana Point, CA, USA",33.4669721,-117.6981075
"Defuniak Springs, FL, USA",30.7210227,-86.1152184
"Marble Falls, TX, USA",30.5777511,-98.2756505
"Smyrna, TN, USA",35.9824598,-86.5199492
"Norton, MA, USA",41.9670616,-71.1875071
"Medford, NJ, USA",39.9009472,-74.8234961
"Foxborough , MA, USA",42.0653768,-71.2478308
"Crownsville, MD, USA",39.0197327,-76.5902677
"Fork Union, VA, USA",37.7632986,-78.2626198
"Delta, CO, USA",38.8368777,-107.8568294
"Harrington, DE, USA",38.9237244,-75.5777033
"San Luis Obispo, CA",35.3540209,-120.375716
